Gene name	Human gene name
AC164084.2	PRAMEF12
AC164084.2	PRAMEF11
AC164084.2	PRAMEF7
AC164084.2	PRAMEF6
AC164084.2	PRAMEF19
AC164084.2	PRAMEF25
AC164084.2	PRAMEF13
AC164084.2	PRAMEF8
AC164084.2	PRAMEF5
AC164084.2	PRAMEF9
AC164084.2	PRAMEF26
Zfp213	ZNF213
Gm25475	RNU2-66P
Klhl24	KLHL24
AC133103.1	SP140
Wnt8b	WNT8B
Mir3068	SNORA58
Tnp2	TNP2
Apol7c	APOL2
Apol7c	APOL4
Apol7c	APOL1
Apol7c	APOL3
Snora69	SNORA69
Taf4b	TAF4B
Gm25055	SNORD113
Rnu7	RNU7-51P
Gm23672	RNU4-22P
Snord82	SNORD82
Clybl	CLYBL
Gm26330	SNORD46
Gm25489	RNU1-150P
Fam204a	FAM204A
Gm24014	RNU1-54P
Rnps1	RNPS1
Qk	QKI
Csf2rb	CSF2RB
Wdr36	WDR36
Gm24439	U8
Gm24946	RNU6-1280P
Khsrp	KHSRP
Gm25945	SNORA42
Eml4	EML4
Gnl3	GNL3
Ctnna1	CTNNA1
Gm25014	RNU6-745P
Gm24500	SNORA4
Gm22733	RNU6-1203P
Gm22733	RNU6-88P
Gm22733	RNU6-847P
Gm26091	RNU6-615P
Gm26091	RNU6-221P
Gm26091	RNU6-121P
Gm26091	RNU6-239P
Gm26091	RNU6-775P
Gm22090	RNU6-983P
Kcns2	KCNS2
Tmem225	TMEM225
Gm23515	RNU6-829P
Gm23229	RNU6-995P
Slc22a3	SLC22A3
Snord23	SNORD23
Gm23130	SNORD101
Gm22311	RNA5SP266
Il11ra2	IL11RA
Rps12-ps3	RPS12
CT868723.1	FAM205A
Snord19	SNORD19
Gm25049	RNU6-436P
Tssk2	TSSK2
Gm21953	AL162231.1
Txnl1	TXNL1
C1ql4	C1QL4
Paqr4	PAQR4
Gm22897	SCARNA15
Gm22897	SCARNA4
n-R5s9	RNA5SP212
Gm22797	SNORA71D
Gm26254	RNU4-48P
n-R5s73	RNA5SP237
Gm26236	SNORA8
Kifc5b	KIFC1
Gm24165	SNORA31
Nubp2	NUBP2
Tinf2	TINF2
Lrrc73	LRRC73
Gm26089	RNA5SP182
Snord61	SNORD61
Snord64	SNORD64
Spata24	SPATA24
Gm27579	U7
Gm26296	U7
Tmco6	TMCO6
Gm26245	RNU6-487P
Gm26245	RNU6-263P
Gm26245	RNU6-173P
Smim3	SMIM3
Gm22416	SCARNA3
Gm25683	SNORA71D
Tnfrsf12a	TNFRSF12A
Gm4353	NUP35
Bace2	BACE2
Gm25777	SNORA77
Gm25777	SNORA77B
n-R5s178	RNA5SP209
n-R5s16	RNA5SP69
Larp4	LARP4
Zfpm2	ZFPM2
Gm24487	U7
Gm26265	SNORA50A
Pgp	PGP
Gm27782	PVT1
Klf10	KLF10
Gm22675	RNU6-92P
Slc7a8	SLC7A8
Taf2	TAF2
n-R5s82	RNA5SP210
Slc25a17	SLC25A17
Gm23702	RNA5SP321
Gm23702	RNA5SP53
4930533O14Rik	DPP3
Gm26168	Y_RNA
Pot1b	POT1
BC027072	C2orf71
Eif1a	EIF1AY
Gm27522	MESTIT1_2
Gm23320	SNORA40
Gm25362	RNU6-245P
Gm25187	SNORA71E
Gm25150	U7
Snord70	SNORD70
Ogdhl	OGDHL
Lgi3	LGI3
Gm27365	ST7-OT4_2
Gm25970	SNORD127
Cyth4	CYTH4
Gm24464	RNU6-761P
Gm24464	RNU6-171P
Gm24464	RNU6-20P
Snora2b	SNORA2B
Gm23187	SNORD86
Ropn1l	ROPN1L
Gm24890	RNU11-2P
Gm27627	MIAT_exon5_1
Gm23593	SNORA26
2410015M20Rik	C19orf70
Nckap1l	NCKAP1L
Gm24664	RNA5SP142
Vps37a	VPS37A
Gm25657	RNU6-915P
Gm27315	Pinc
Gm24966	SNORD115-47
Gm24966	SNORD115
Snord92	SNORD92
Gm22784	SNORA69
Gm24407	RNU4-2
Fkbp11	FKBP11
Gm10479	ZNF625-ZNF20
Gm10479	AC008770.2
Gm10479	ZNF69
Gm25801	RNU6-1164P
Gm25801	RNU6-1079P
Erich5	ERICH5
Sybu	SYBU
Lrrtm2	LRRTM2
Maff	MAFF
Krt8	KRT8
Crygs	CRYGS
Gm23946	SNORA74C-1
Gm23946	SNORA74C-2
Ccr6	CCR6
Atp8b1	ATP8B1
Wdr55	WDR55
Hps6	HPS6
Gm21876	SSX4
Gm21876	SSX7
Gm21876	SSX5
Gm21876	SSX2
Gm21876	SSX3
Gm21876	SSX1
Gm21876	SSX4B
Gm21876	SSX2B
Srd5a2	SRD5A2
Hunk	HUNK
Tigd3	TIGD3
Ebag9	EBAG9
Kcnk18	KCNK18
Fer	FER
Gm23113	RNU6-669P
Gm23113	RNU6-621P
Fbxo32	FBXO32
Stub1	STUB1
Sac3d1	SAC3D1
Tcte3	TCTE3
Eif1ad	EIF1AD
Rnase13	RNASE13
Ldb3	LDB3
Gm17669	RPL29
Rpl36-ps4	RPL36
Zfand3	ZFAND3
Snord17	SNORD17
Gp1bb	GP1BB
Gm7334	BTG3
Trmt12	TRMT12
Ldlrad4	LDLRAD4
Grpel2	GRPEL2
Gm8444	RPL35
Hsbp1l1	HSBP1L1
Atg12	ATG12
Pgam1	PGAM1
Bicral	BICRAL
n-R5s109	RNA5S9
Gm5218	RPL29
Gm22031	RNU6ATAC26P
Gm22031	RNU6ATAC21P
Zfp148	ZNF148
Cmss1	CMSS1
Snord45b	SNORD45
Snord45b	SNORD45B
Grina	GRINA
Ngdn	NGDN
Rnase10	RNASE10
Ssh3	SSH3
Ccnf	CCNF
Gm23547	SCARNA12
n-R5s61	RNA5SP496
AC124606.1	PRAMEF33
AC124606.1	PRAMEF10
AC124606.1	PRAMEF2
AC124606.1	PRAMEF20
AC124606.1	PRAMEF1
AC124606.1	PRAMEF18
AC124606.1	PRAMEF27
AC124606.1	PRAMEF14
AC124606.1	PRAMEF15
AC124606.1	PRAMEF4
AC124606.1	PRAMEF17
AC124606.1	PRAMEF12
AC124606.1	PRAMEF11
AC124606.1	PRAMEF7
AC124606.1	PRAMEF6
AC124606.1	PRAMEF19
AC124606.1	PRAMEF25
AC124606.1	PRAMEF13
AC124606.1	PRAMEF8
AC124606.1	PRAMEF5
AC124606.1	PRAMEF9
AC124606.1	PRAMEF26
Fbxl15	FBXL15
Lrp10	LRP10
Gm25215	SNORA29
Gm27421	uc_338
Zfp7	ZNF7
Gm23466	Y_RNA
Gm23466	RNY1P3
Slc52a2	SLC52A2
Slc52a2	SLC52A1
Gm26240	RNU6-1001P
Gm26240	RNU6-1060P
Wdr7	WDR7
Gm22984	RNU2-19P
Wdr27	WDR27
Gm23625	RNU6-300P
Gm22711	SNORA50C
Gm24905	RNU6-1291P
Vgll3	VGLL3
Gm22514	RN7SKP293
Grasp	GRASP
Micall1	MICALL1
Apobec2	APOBEC2
Gm23411	U7
Scx	SCX
Atg101	ATG101
Rnase9	RNASE9
Gm22871	snoZ6
Gm25443	SCARNA18
Rab5a	RAB5A
Dmc1	DMC1
Rttn	RTTN
Sim2	SIM2
Gm22489	SNORD75
Gm24249	U7
Gm27520	Xist_exon1
Gm24173	SNORA40
Socs5	SOCS5
Apol9a	APOL2
Apol9a	APOL4
Apol9a	APOL1
Apol9a	APOL3
Gm26446	RNU6-674P
Gm26446	RNU6-1308P
Fam162a	FAM162A
Gm23260	RNU2-10P
Gm23581	U7
Gm22782	SNORA17
Ptar1	PTAR1
Gm27490	RNA5SP169
Med15	MED15
n-R5s62	RNA5SP404
n-R5s169	RNA5SP463
n-R5s169	RNA5SP250
n-R5s169	RNA5SP85
n-R5s169	RNA5SP483
Gm22056	RNU6-1094P
Gm22056	RNU6-1168P
Gm22056	RNU6-1309P
n-R5s174	5S_rRNA
Snord93	SNORD93
Gm23041	RNU6-801P
Naa40	NAA40
Acta2	ACTA2
Gm24265	RNU4-1
Mchr1	MCHR1
Morc1	MORC1
Cenpm	CENPM
Gm27483	H19_1
Nell2	NELL2
Snord4a	SNORD4A
Rcan2	RCAN2
Ptchd4	PTCHD4
Mir1839	SCARNA15
Ldoc1l	RTL6
Gm23661	RNU2-30P
Gm23661	U2
Gm23661	RNU2-38P
Snord65	SNORD65
Sugt1	SUGT1
Gm27884	ZNRD1-AS1_2
Gm22236	RNU6-126P
Zbtb3	ZBTB3
Gm24041	RNU1-108P
Rbm27	AC091959.3
Rbm27	RBM27
Rbp4	RBP4
Gm23143	RNU5E-4P
Gm23143	RNU5E-1
Emilin2	EMILIN2
Gm27733	XIST_intron
Nars	NARS
Tcte1	TCTE1
Dhh	DHH
Gm25382	RNU6-601P
Ptk7	PTK7
Rubcnl	RUBCNL
Gm22880	RNU6-788P
Gm27610	Six3os1_3
Gm24661	RNU6-841P
CR974586.1	FAM205A
Gm27913	PVT1_1
Rmrp	RMRP
Ndufaf7	NDUFAF7
Snord12	SNORD12
Poll	POLL
Gm22612	RNU6-294P
Gm23058	RNU6-739P
Cldn34c3	CLDN34
Snord99	SNORD99
Kcnh3	KCNH3
Gm26003	SNORA71
Gm26003	SNORA71A
Nthl1	NTHL1
Gm22711	SNORA50
Gm27695	HOXA11-AS1_3
Gm24895	SNORD113
Slc14a2	SLC14A2
Rbx1	RBX1
Gm24907	SNORA11
Adcyap1	ADCYAP1
Sfxn2	SFXN2
Ralbp1	RALBP1
Sept12	SEPT12
Gfer	GFER
Gm10269	RPL35
Spcs1	SPCS1
Nt5dc2	NT5DC2
Alg10b	ALG10B
Alg10b	ALG10
Upk1b	UPK1B
Sept3	SEPT3
Fzd8	FZD8
Gm24412	SNORA32
Laptm4b	LAPTM4B
Tmem200b	TMEM200B
Gm25580	RN7SKP202
Mettl7a3	METTL7A
Sfr1	SFR1
Impact	IMPACT
Kcnk12	KCNK12
Gm23557	SCARNA24
Gm22443	RNU6-34P
Lhcgr	AC073082.1
Lhcgr	LHCGR
Gm21586	AL162231.1
Phf20l1	PHF20L1
Snora16a	SNORA16A
Gm28020	U7
Rbfox2	RBFOX2
Gm23034	SNORA28
Gm27572	PART1_2
Thada	THADA
Gm22100	U7
Hbegf	HBEGF
Fshr	FSHR
Gm23390	RNU6-502P
Cblb	CBLB
Cd74	CD74
Snord11	SNORD11
Ccdc58	CCDC58
Vit	VIT
Gm22788	U7
Kifc2	KIFC2
Sh3pxd2a	SH3PXD2A
B4galt6	B4GALT6
Ccl21b	CCL21
Gm26285	RNU6-393P
Gm26285	RNU6-968P
Gm26285	RNU6-925P
Gm26285	RNU6-434P
Gm23114	RNA5SP262
Gm23114	RNA5SP222
Tcf20	TCF20
Elob	ELOB
n-R5s189	RNA5SP344
n-R5s189	RNA5SP164
n-R5s189	RNA5SP364
Gm27985	HOTTIP_2
Dnm1l	DNM1L
Gm25053	SNORA17A
Gm22981	SNORD114-2
Gm22981	SNORD113
Gm24867	RNU6-711P
Gm24867	RNU6-884P
Gm25924	RNU6-159P
Gm25924	RNU6-861P
Gm22242	RNU6-409P
Gm23889	RNU6-518P
Gm23279	RNA5SP485
Btbd9	BTBD9
Snora3	SNORA3A
Snora3	SNORA3
B4gat1	B4GAT1
Gm26011	RNU6-603P
Gm27393	U7
Sfmbt1	SFMBT1
Gm23474	SNORD113-7
Gm24226	RNU6-1180P
Dynlt1b	DYNLT1
Snord1c	SNORD1C
Slc25a27	SLC25A27
Gm22561	RN7SKP72
Gm22561	RN7SKP115
Gm22561	RN7SKP97
Gm22561	RN7SKP93
Gm25367	RNU6-627P
Gm25367	RNU6-607P
Gm27369	SPRY4-IT1_1
Gm26371	RNU6-1028P
Gm26371	RNU6-315P
Gm22335	RNU6-673P
Wbp2nl	WBP2NL
Gm23166	RNU6-442P
Gm22645	RNU6-225P
Gm22139	RNU6-1120P
Cyp2d40	CYP2D7
Cyp2d40	CYP2D6
Nrbp2	NRBP2
Rnase2a	RNASE3
Rnase2a	RNASE2
Pdcd11	PDCD11
C2cd2	C2CD2
Pkd2l2	PKD2L2
Capn1	CAPN1
Gm24960	RNU6-632P
Gm24960	RNU6-1225P
Gm24960	RNU6-537P
AF357341	SNORD114-2
AF357341	SNORD113
Gm24531	RNU6-1312P
Tmem217	TMEM217
Gm24067	SNORD105
Zmat2	ZMAT2
Gm24390	U7
Srf	SRF
Gm25909	SNORA40
Npr3	NPR3
Gm24615	SNORA20
Gm24615	SNORA20B
Abcc4	ABCC4
Khnyn	KHNYN
Ubac2	UBAC2
Macrod1	MACROD1
Ppp2r5d	PPP2R5D
Gm27753	RMST_6
Gm22249	RNU4-83P
Cyp2d9	CYP2D7
Cyp2d9	CYP2D6
Catsperz	CATSPERZ
Gm27747	DLEU2_5
Hsf1	HSF1
Add3	ADD3
Asmt	ASMT
Fbxl6	AC233992.2
Fbxl6	FBXL6
Tmem41a	TMEM41A
Lipa	LIPA
Samm50	SAMM50
Osbp	OSBP
Gm5414	KRT6B
Gm5414	KRT6C
Gm5414	KRT6A
Gm22604	RN7SKP100
Kremen2	KREMEN2
Fam170a	FAM170A
Ebi3	EBI3
Lox	LOX
Krt6a	KRT6B
Krt6a	KRT6C
Krt6a	KRT6A
Tst	TST
Gm23485	RNU1-141P
Lifr	LIFR
Meiob	MEIOB
Dennd6b	DENND6B
Rgmb	RGMB
Faim2	FAIM2
Cog3	COG3
D030056L22Rik	C9orf40
Ccar2	CCAR2
Lamp3	LAMP3
Pik3ap1	PIK3AP1
Rad21	RAD21
Ddx17	DDX17
Fkbp2	FKBP2
4931414P19Rik	C14orf93
Atad1	ATAD1
Spry3	SPRY3
Cpn2	CPN2
Gm22339	U7
Cebpe	CEBPE
Dym	DYM
Gpr156	GPR156
Gm27454	HOXA11-AS1_5
Shoc2	SHOC2
Cma1	CMA1
Gm27321	FTX_5
Apol11a	APOL2
Apol11a	APOL4
Apol11a	APOL1
Apol11a	APOL3
Gm8251	CCDC168
Dand5	DAND5
Retnla	RETNLB
Tmem117	TMEM117
Heatr5b	HEATR5B
Gm5239	UBA52
Itih4	ITIH4
Gm27582	RMST_5
Krt86	KRT83
Krt86	KRT86
Krt86	KRT81
Enthd1	ENTHD1
Gm5407	SENP2
Cldn34c2	CLDN34
Spin2-ps6	SPIN2B
Spin2-ps6	SPIN2A
Cyp26c1	CYP26C1
Gm10093	HDAC1
Rps19bp1	RPS19BP1
Grap2	GRAP2
Tbc1d22a	TBC1D22A
Tmem173	TMEM173
Gm22016	Y_RNA
Gm27373	uc_338
Gm6594	HMGN4
Gm6594	HMGN2
n-R5s19	RNA5SP327
n-R5s213	RNA5SP297
Slc25a28	SLC25A28
Gm23331	RNU6-690P
Rpap3	RPAP3
Gm25409	SNORA41B
Scarna3a	SCARNA3
Gm23656	RNU6-470P
Zc3h13	ZC3H13
Gm23753	RNU1-64P
Gm24875	RNU6-297P
Gm24875	RNU6-509P
Ppp6r2	PPP6R2
Gm24314	SNORA17
Gm23442	SNORA38
Scd1	SCD
Zfp518a	ZNF518A
Gm22790	RNA5SP482
Xpo7	XPO7
Gm23317	SNORA42
Gm24201	SNORA63
Gm22266	SNORA17A
Cnih2	CNIH2
Gm25490	SNORA17
Gm24457	RNU6-61P
Gm22508	Y_RNA
Stk24	STK24
Zfp967	ZNF101
Zfp967	ZNF878
Gm24340	RNU6-66P
Gm27271	SMAD5-AS1_4
Dmtn	DMTN
Gm22556	5S_rRNA
Gm23198	RNA5SP441
Gm25857	SNORA44
Gm27350	MEG8_1
Gal3st3	GAL3ST3
Snord21	SNORD21
Gm23824	RN7SKP240
Gm23494	U6atac
Eif3a	EIF3A
Gm25629	RNU6-1064P
Rpusd1	RPUSD1
Stap2	STAP2
Gm25828	RNU6-588P
Adra2a	ADRA2A
Gm25796	RNU1-42P
Gm27587	TUSC7
Gm25370	SNORA55
Gm27492	HOXA11-AS1_2
Gm10591	CCL21
Scel	SCEL
n-R5s28	RNA5SP370
Ptk2	PTK2
AC087559.2	AL162231.1
Eif4b	EIF4B
Gm25735	Metazoa_SRP
Gm25735	RN7SL405P
Gm25735	RN7SL455P
Gm25735	RN7SL670P
Gm25735	RN7SL605P
Gm25735	RN7SL531P
Gm25380	RNU6-61P
Gm25128	SNORD83
Gm25128	SNORD117
Gm24559	SNORA22
Snora64	SNORA64
Gm26405	RNA5SP230
Klhl33	KLHL33
Gm24074	RN7SKP38
Gm25623	RNU6-58P
Gm24336	SNORA12
Gm27505	NEAT1_2
Gm22281	RNU6-551P
Rnase6	RNASE6
Gm24474	RNU6-1009P
Dus3l	DUS3L
Gm23209	RNU6-120P
Gm23209	RNU6-1284P
Gm23650	SNORD56
Gm22766	RNU6-1136P
Gm26355	RNU6-625P
Gm26361	RNU1-133P
Gm22818	RNU6-277P
Gm22818	RNU6-758P
Mafa	MAFA
Gm23850	RNU1-85P
Gm23850	RNU1-149P
Med4	MED4
Gm23648	RNU6-309P
Gm25141	RNU6-851P
Snord58b	SNORD58B
Snord58b	SNORD58
Gm26164	RNU6-573P
Aqp4	AQP4
Snora28	SNORA28
Gm25267	U7
Gm24241	SNORA79
Gm24608	SNORA58
Gm24608	SNORA58B
Snord53	SNORD53
Gm25480	SNORA67
Gm22114	RNU6-1017P
Gm22114	RNU6-1086P
Gm27595	RNA5SP296
Gm22390	RN7SKP283
Gm24449	RNU6-97P
Cndp2	CNDP2
Gm28001	RNA5SP256
Gm26255	RNU6-917P
Gm25895	RNU6-416P
Gm23055	RNU6-237P
Gm23055	RNU6-576P
Gm23423	RNU6-695P
Aqp5	AQP5
Gm24497	RNU2-4P
Gm23315	SNORA40
Nron	NRON
Gm22442	SCARNA21
AC140365.1	PRAMEF33
AC140365.1	PRAMEF10
AC140365.1	PRAMEF2
AC140365.1	PRAMEF20
AC140365.1	PRAMEF1
AC140365.1	PRAMEF18
AC140365.1	PRAMEF27
AC140365.1	PRAMEF14
AC140365.1	PRAMEF15
AC140365.1	PRAMEF4
AC140365.1	PRAMEF17
AC140365.1	PRAMEF12
AC140365.1	PRAMEF11
AC140365.1	PRAMEF7
AC140365.1	PRAMEF6
AC140365.1	PRAMEF19
AC140365.1	PRAMEF25
AC140365.1	PRAMEF13
AC140365.1	PRAMEF8
AC140365.1	PRAMEF5
AC140365.1	PRAMEF9
AC140365.1	PRAMEF26
Gm27406	uc_338
Gm24009	RNA5SP262
Gm24009	RNA5SP222
Gm24186	RNA5SP347
Wbp4	WBP4
Gm7275	SENP2
Gm24883	RN7SKP260
Ranbp3l	RANBP3L
Memo1	MEMO1
Gmpr2	GMPR2
Gm24415	RNU6-891P
Gm10020	RPL15
Dct	DCT
Rnf219	RNF219
Gm27940	pRNA
Gm25930	RNU6-83P
Vapa	VAPA
Gm25199	RNU6-46P
Gm24498	RNU6-212P
Gm24498	RNU6-342P
Snora43	SNORA17B
Ubn1	UBN1
Tagap1	TAGAP
AC163611.2	PRAMEF33
AC163611.2	PRAMEF10
AC163611.2	PRAMEF2
AC163611.2	PRAMEF20
AC163611.2	PRAMEF1
AC163611.2	PRAMEF18
AC163611.2	PRAMEF27
AC163611.2	PRAMEF14
AC163611.2	PRAMEF15
AC163611.2	PRAMEF4
AC163611.2	PRAMEF17
AC163611.2	PRAMEF12
AC163611.2	PRAMEF11
AC163611.2	PRAMEF7
AC163611.2	PRAMEF6
AC163611.2	PRAMEF19
AC163611.2	PRAMEF25
AC163611.2	PRAMEF13
AC163611.2	PRAMEF8
AC163611.2	PRAMEF5
AC163611.2	PRAMEF9
AC163611.2	PRAMEF26
Gm25108	SNORD88
Snord104	SNORD104
Gm24877	Y_RNA
Gm27280	HOTTIP_1
Wdr70	WDR70
Gm25066	SNORA17
Gm27660	DLG2-AS1_1
AW549877	C5orf51
Gm27854	Metazoa_SRP
Gm27854	RN7SL405P
Gm27854	RN7SL455P
Gm27854	RN7SL670P
Gm27854	RN7SL605P
Gm27854	RN7SL531P
Efhb	EFHB
Gm25697	SNORA67
Lmf2	LMF2
Gm26497	RNU6-633P
n-R5s96	RNA5SP469
Ero1l	ERO1A
Gm27803	KCNQ1OT1_3
Ppp1r1a	PPP1R1A
Gm25935	RNU6-393P
Gm25935	RNU6-968P
Gm25935	RNU6-925P
Gm25935	RNU6-434P
Gm23918	RNA5SP448
Gm23918	RNA5SP470
Gm23918	RNA5SP249
Gm23918	RNA5SP236
Gm25784	RNU6-299P
Gm27792	RNA5SP340
Endou	ENDOU
AC164084.3	PRAMEF33
AC164084.3	PRAMEF10
AC164084.3	PRAMEF2
AC164084.3	PRAMEF20
AC164084.3	PRAMEF1
AC164084.3	PRAMEF18
AC164084.3	PRAMEF27
AC164084.3	PRAMEF14
AC164084.3	PRAMEF15
AC164084.3	PRAMEF4
AC164084.3	PRAMEF17
AC164084.3	PRAMEF12
AC164084.3	PRAMEF11
AC164084.3	PRAMEF7
AC164084.3	PRAMEF6
AC164084.3	PRAMEF19
AC164084.3	PRAMEF25
AC164084.3	PRAMEF13
AC164084.3	PRAMEF8
AC164084.3	PRAMEF5
AC164084.3	PRAMEF9
AC164084.3	PRAMEF26
Gm26143	RNU6-300P
Ltn1	LTN1
Gm24532	RN7SKP83
Snord37	SNORD37
Gm27585	DAOA-AS1_1
Spidr	SPIDR
Carhsp1	CARHSP1
Gm20939	ZNF101
Gm20939	ZNF878
Gm25282	RNU6-164P
Gm23152	RNA5SP220
Gm23152	RNA5SP86
Gm27265	Hammerhead_HH9
Gm26393	RNU4-38P
Gm24459	RNU4-29P
0610009O20Rik	KIAA0141
Carns1	CARNS1
Gm24870	RNU6-817P
Gm23201	SNORD12B
Gtf2f1	GTF2F1
Gm22331	SNORA68
Gm23516	RNU6-904P
Gm22578	RNU6-325P
Gpr108	GPR108
Gm24346	SNORA73
Gm22135	RNA5SP386
Gm22135	RNA5SP452
Gm22135	RNA5SP273
E4f1	E4F1
Snx9	SNX9
Gm26157	RNA5SP133
Gm23463	RNU6-70P
Rnu3b2	SNORD3D
Pfpl	MPEG1
Gm22613	RN7SKP42
Gm27511	SMCR2_1
Plg	PLG
Gm22353	SNORA2
Pcgf6	PCGF6
Gm27533	NEAT1_3
Gm23570	RNU6-1240P
Chaf1a	CHAF1A
Gm26124	Y_RNA
n-R5s182	RNA5SP463
n-R5s182	RNA5SP250
n-R5s182	RNA5SP85
n-R5s182	RNA5SP483
Gm22215	RNU6-1224P
n-R5s200	RNA5SP206
n-R5s200	RNA5SP369
Gm24512	U7
Gm27741	HYMAI
Phf1	PHF1
Gm25914	RNU1-74P
Gm25914	RNU1-70P
Vps37c	VPS37C
Snord55	SNORD55
Gm23065	RNA5SP140
AC168977.1	SP110
Gm23538	RNU6-1290P
Proc	PROC
Snord14a	SNORD14
Snord14a	SNORD14B
Gm24263	RNU6-247P
Gm24263	RNU6-1281P
Gm24263	RNU6-913P
Ang2	ANG
CR974586.3	CCL19
6030458C11Rik	C5orf22
Slitrk1	SLITRK1
Gm10110	PABPC4
Gm25969	SNORA31
Ttr	TTR
Crim1	CRIM1
Enox1	ENOX1
Oxgr1	OXGR1
Pum3	PUM3
Banf1	BANF1
Gm22212	RNU6-1057P
Prepl	PREPL
Rn7s1	RN7SL1
Gm23307	RNU6-131P
Msh6	MSH6
Nfatc1	NFATC1
AC165294.3	PRAMEF33
AC165294.3	PRAMEF10
AC165294.3	PRAMEF2
AC165294.3	PRAMEF20
AC165294.3	PRAMEF1
AC165294.3	PRAMEF18
AC165294.3	PRAMEF27
AC165294.3	PRAMEF14
AC165294.3	PRAMEF15
AC165294.3	PRAMEF4
AC165294.3	PRAMEF17
AC165294.3	PRAMEF12
AC165294.3	PRAMEF11
AC165294.3	PRAMEF7
AC165294.3	PRAMEF6
AC165294.3	PRAMEF19
AC165294.3	PRAMEF25
AC165294.3	PRAMEF13
AC165294.3	PRAMEF8
AC165294.3	PRAMEF5
AC165294.3	PRAMEF9
AC165294.3	PRAMEF26
n-R5s89	RNA5SP402
Gm25099	RNU5E-4P
Gm25099	RNU5E-1
Bin1	BIN1
Fbn2	FBN2
Gm23535	RNU6-1291P
Gm24773	RNU6-1304P
Rnf138	RNF138
Gpr151	GPR151
Gm22558	RNU6-545P
Gm23604	SNORA17A
Gm26020	RNU2-17P
Gm26020	RNU2-69P
Fas	FAS
Minpp1	MINPP1
Mllt1	MLLT1
Gm23665	U7
Gm10324	ZNF101
Gm10324	ZNF878
Gm24061	SNORA72
Gm25493	RNU6-220P
Gm25493	RNU6-395P
Itih3	ITIH3
Nek4	NEK4
Gm25366	U4
Gm25366	RNU4-41P
Gm25366	RNU4-18P
Gm24148	SNORD20
Slf2	SLF2
Gm22567	RN7SL87P
Dynlt1a	DYNLT1
Gm24626	RNU1-58P
Ankrd2	ANKRD2
AC133103.4	SP110
Gm24184	Y_RNA
Nipal2	NIPAL2
Letmd1	LETMD1
Gm27820	uc_338
Rnu12	RNU12
Wdr33	WDR33
Gm24831	U6atac
Oard1	OARD1
AC123873.1	PRAMEF33
AC123873.1	PRAMEF10
AC123873.1	PRAMEF2
AC123873.1	PRAMEF20
AC123873.1	PRAMEF1
AC123873.1	PRAMEF18
AC123873.1	PRAMEF27
AC123873.1	PRAMEF14
AC123873.1	PRAMEF15
AC123873.1	PRAMEF4
AC123873.1	PRAMEF17
AC123873.1	PRAMEF12
AC123873.1	PRAMEF11
AC123873.1	PRAMEF7
AC123873.1	PRAMEF6
AC123873.1	PRAMEF19
AC123873.1	PRAMEF25
AC123873.1	PRAMEF13
AC123873.1	PRAMEF8
AC123873.1	PRAMEF5
AC123873.1	PRAMEF9
AC123873.1	PRAMEF26
Rnf14	RNF14
Gm27826	Metazoa_SRP
Gm27826	RN7SL405P
Gm27826	RN7SL455P
Gm27826	RN7SL670P
Gm27826	RN7SL605P
Gm27826	RN7SL531P
Gm22607	RNU6-774P
Gm22533	RN7SKP270
2700062C07Rik	C18orf21
Noc3l	NOC3L
n-R5s48	RNA5SP515
n-R5s48	RNA5SP152
n-R5s48	RNA5SP51
n-R5s48	RNA5SP23
n-R5s48	RNA5SP506
Gm24837	SNORD121A
Prkaa1	PRKAA1
Gm4950	PSMB3
Gm25643	RNU6-696P
Rnf19a	RNF19A
Gm22325	RN7SKP234
Gm24817	RNU6-346P
Gm23342	RNA5SP147
Gm3448	TCTE3
Uqcc3	UQCC3
Scarna9	snoU2-30
Arl14epl	ARL14EPL
Gm25842	RN7SKP132
Rnase1	RNASE1
Gm22906	Metazoa_SRP
Gm22906	RN7SL405P
Gm22906	RN7SL455P
Gm22906	RN7SL670P
Gm22906	RN7SL605P
Gm22906	RN7SL531P
Gm22535	RNA5SP24
Rfx2	RFX2
Gm3443	C9orf57
Gm25334	RNU6-262P
Npy4r	NPY4R
Npy4r	NPY4R2
Gm24947	RNU6-381P
Capn13	CAPN13
Gm25884	U7
Gdnf	GDNF
Rft1	AC096887.1
Rft1	RFT1
Scarna6	SCARNA6
Tssk4	TSSK4
Rtp2	RTP2
Gm26327	RNU6-835P
Rnu3a	SNORD3D
Gm26409	U7
Cbwd1	CBWD5
Cbwd1	CBWD2
Cbwd1	CBWD6
Cbwd1	CBWD1
Cbwd1	CBWD3
Snora23	SNORA23
Gtpbp1	GTPBP1
Golph3	GOLPH3
Fam49b	FAM49B
Nup155	NUP155
Gm27330	PCGEM1
Lnpep	LNPEP
Gm25039	RNU6-1165P
Metrn	METRN
Gm26149	RNU6-701P
Snora20	SNORA20
Gm25104	RNU4-7P
Gm27326	SNORA21B
Gm25097	RNU11-4P
Gm24713	RNU6-13P
Gm27580	CDKN2B-AS
Gm22486	SNORD94
Snord60	SNORD60
Snord7	SNORD7
Snora5c	SNORA5C
Gm23472	U2
Gm23472	RNU2-1
Gm22876	RN7SL237P
Gm22876	RN7SL677P
Gm25394	SNORA84
Gm23727	RNU1-94P
Vis1	VIS1
Gm22662	Metazoa_SRP
Gm22662	RN7SL405P
Gm22662	RN7SL455P
Gm22662	RN7SL670P
